Project_name,Tool_name,CWE_ID,Number of Findings,Is_In_CWE_Top_25?
libsndfile,Flawfinder,CWE-362,43,Yes
libsndfile,Flawfinder,CWE-134,16,No
libsndfile,Flawfinder,CWE-78),8,No
libsndfile,Flawfinder,CWE-120,118,No
libsndfile,Flawfinder,CWE-807,2,No
libsndfile,Flawfinder,CWE-327,2,No
libsndfile,Flawfinder,CWE-829,1,No
libsndfile,Flawfinder,CWE-119,176,No
libsndfile,Flawfinder,CWE-190,1,No
libsndfile,Flawfinder,CWE-126,84,No
libsndfile,Flawfinder,CWE-676,1,No
libsndfile,Cppcheck,CWE-398,821,No
libsndfile,Cppcheck,CWE-628,72,No
libsndfile,Cppcheck,CWE-563,96,No
libsndfile,Cppcheck,CWE-561,47,No
libsndfile,Cppcheck,CWE-457,2,No
libsndfile,Cppcheck,CWE-195,1,No
libsndfile,Cppcheck,CWE-758,7,No
libsndfile,Cppcheck,CWE-570,8,No
libsndfile,Cppcheck,CWE-571,12,No
libsndfile,Cppcheck,CWE-704,23,No
libsndfile,Cppcheck,CWE-682,4,No
libsndfile,Cppcheck,CWE-683,4,No
libsndfile,Cppcheck,CWE-686,35,No
libsndfile,Cppcheck,CWE-476,23,Yes
libsndfile,Cppcheck,CWE-119,1,No
libsndfile,Cppcheck,CWE-665,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-401,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-476,1,Yes
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-252,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-119,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
libsndfile,Splint,CWE-120,1,No
