Block,gen[B],kill[B],in[B],out[B]
B41,D37,D35,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D36 D37 D4 D6 D7 D9
B42,D38 D39 D40 D41,D43 D44 D45 D46,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D37 D4 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D37 D38 D39 D4 D40 D41 D6 D7 D9
B43,D42,D1 D103 D14 D19 D23 D30 D36 D48 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D36 D37 D38 D39 D4 D40 D41 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9
B44,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9
B45,D43,D38,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D39 D4 D40 D41 D42 D43 D6 D7 D9
B46,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D6 D7 D9
B47,D44,D39,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9
B48,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9
B49,D45,D40,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D40 D41 D42 D43 D44 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D41 D42 D43 D44 D45 D6 D7 D9
B50,D46,D41,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D41 D42 D43 D44 D45 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D4 D42 D43 D44 D45 D46 D6 D7 D9
B51,D47,D49,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D44 D45 D46 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D44 D45 D46 D47 D6 D7 D9
B52,D48,D1 D103 D14 D19 D23 D30 D36 D42 D5 D51 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D42 D43 D44 D45 D46 D47 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D6 D7 D9
B53,D49,D47,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D48 D49 D6 D7 D9
B54,D50,D52,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D49 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D49 D50 D6 D7 D9
B55,D51,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D57 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D48 D49 D50 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9
B56,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9
B57,D52,D50,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D51 D52 D6 D7 D9
B58,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D6 D7 D9
B59,D53,D10 D11 D21 D24 D25 D26 D6,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D6 D7 D9,D12 D13 D15 D16 D17 D18 D2 D20 D22 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D7 D9
B60,D54 D55 D56,D59 D60 D61 D62 D63 D64 D66 D67 D68 D69 D70 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D54 D55 D56 D6 D7 D9
B61,D57,D1 D103 D14 D19 D23 D30 D36 D42 D48 D5 D51 D73 D75 D8 D81 D88 D97,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D51 D52 D53 D54 D55 D56 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D6 D7 D9
B62,D58 D59 D60 D61,D54 D55 D56 D62 D63 D64 D66 D67 D68 D69 D70 D71 D77,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D6 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9
B63,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9
B64,D62,D56 D61 D63 D64 D68 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D62 D7 D9
B65,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D62 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D62 D7 D9
B66,D63,D56 D61 D62 D64 D68 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D61 D62 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9
B67,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9
B68,D64,D56 D61 D62 D63 D68 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D63 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D57 D58 D59 D6 D60 D64 D7 D9
B69,D65,D72,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9
B70,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9
B71,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9
B72,D66,D54 D59 D69,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D55 D56 D57 D58 D6 D60 D63 D64 D65 D66 D7 D9
B73,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D7 D9
B74,D67,D55 D60 D70,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D55 D56 D57 D58 D59 D6 D60 D63 D64 D65 D66 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9
B75,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9
B76,D68,D56 D61 D62 D63 D64 D71,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D56 D57 D58 D59 D6 D63 D64 D65 D66 D67 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9
B77,,,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9,D11 D12 D13 D15 D16 D17 D18 D2 D20 D21 D22 D25 D26 D27 D28 D29 D3 D31 D32 D33 D34 D35 D37 D38 D39 D4 D40 D41 D43 D44 D45 D46 D47 D49 D50 D52 D53 D54 D57 D58 D59 D6 D65 D66 D67 D68 D7 D9
